country,2018年年收入,2017年年收入,2016年年收入,2015年年收入,2014年年收入,2013年年收入,2012年年收入,2011年年收入,2018年人口总数,2017年人口总数,2016年人口总数,2015年人口总数,2014年人口总数,2013年人口总数,2012年人口总数,2011年人口总数,2018年生产总值,2017年生产总值,2016年生产总值,2015年生产总值,2014年生产总值,2013年生产总值,2012年生产总值,2011年生产总值
北京,1317100,119928,111390,102268,93006,84742,75482,65158,2154,2171,2173,2171,2152,2115,2069,2019,30319.98,28014.94,25669.13,23014.59,21330.83,19800.81,17879.4,16251.93
天津,94534,86305,80090,72773,67773,61514,55658,51489,1560,1557,1562,1547,1517,1472,1413,1355,18809.64,18549.19,17885.39,16538.19,15726.93,14442.01,12893.88,11307.28
河北,63036,55334,50921,45114,41501,38658,35309,31451,7556,7520,7470,7425,7384,7333,7288,7241,36010.27,34016.32,32070.45,29806.11,29421.15,28442.95,26575.01,24515.76
山西,60061,53705,51803,48969,46407,44236,39230,33057,3718,3702,3682,3664,3648,3630,3611,3593,16818.11,15528.42,13050.41,12766.49,12761.49,12665.25,12112.83,11237.55
内蒙古,61067,57135,53748,50723,46557,41118,35211,30486,2529,2520,2511,2505,2498,2490,2482,2472,17289.22,16096.21,18128.1,17831.51,17770.19,16916.5,15880.58,14359.88
辽宁,61153,56015,52332,48190,45505,41858,38154,34437,4359,4369,4378,4382,4391,4390,4389,4383,25315.35,23409.24,22246.9,28669.02,28626.58,27213.22,24846.43,22226.7
吉林,61451,56098,51558,46516,42846,38407,33610,29003,2704,2717,2733,2753,2752,2751,2750,2749,15074.62,14944.53,14776.8,14063.13,13803.14,13046.4,11939.24,10568.83
黑龙江,52435,48881,44036,40794,36406,31302,27735,24805,3789,3799,3812,3833,3835,3834,3834,3833,16361.62,15902.68,15386.09,15083.67,15039.38,14454.91,13691.58,12582
上海,129795,119935,109174,100251,90908,78673,75591,66115,2424,2418,2420,2415,2426,2415,2380,2347,32679.87,30632.99,28178.65,25123.45,23567.7,21818.15,20181.72,19195.69
讲述,78267,71574,66196,60867,57177,50639,45487,39772,8051,8029,7999,7976,7960,7939,7920,7899,92595.4,85869.76,77388.28,70116.38,65088.32,59753.37,54058.22,49110.27
浙江,80750,73326,66668,61572,56571,50197,45162,40640,5737,5657,5590,5539,5508,5498,5477,5463,56197.15,51768.26,47251.36,42886.49,40173.03,37756.59,34665.33,32318.85
安徽,65150,59102,55139,50894,47806,44601,39352,33341,6324,6255,6196,6144,6083,6030,5988,5968,30006.82,27018,24407.62,22005.63,20848.75,19229.34,17212.05,15300.65
福建,67420,61973,57628,53426,48538,44525,38588,32340,3941,3911,3874,3839,3806,3774,3748,3720,35804.04,32182.09,28810.58,25979.82,24055.76,21868.49,19701.78,17560.18
江西,61429,56136,50932,46218,42473,38512,33239,28363,4648,4622,4592,4566,4542,4522,4504,4488,21984.78,20006.31,18499,16723.78,15714.63,14410.19,12948.88,11702.82
山东,68081,62539,57270,51825,46998,41904,37618,33321,10047,10006,9947,9847,9789,9733,9685,9637,76469.67,72634.15,68024.49,63002.33,59426.59,55230.32,50013.24,45361.85
河南,55495,49505,45403,42179,38301,37338,33634,29819,9605,9559,9532,9480,9436,9413,9406,9388,48055.86,44552.83,40471.79,37002.16,34938.24,32191.3,29599.31,26931.03
湖北,65912,59831,54367,49838,43899,39846,36128,31811,5917,5902,5885,5852,5816,5799,5779,5758,39366.55,35478.09,32665.38,29550.19,27379.22,24791.83,22250.45,19632.26
湖南,63690,58241,52357,47117,42726,38971,34586,29670,6899,6860,6822,6783,6737,6691,6639,6596,36425.78,33902.96,31551.37,28902.21,27037.32,24621.67,22154.23,19669.56
广东,79183,72326,65788,59481,53318,50278,45060,40432,11346,11169,10999,10849,10724,10644,10594,10505,97277.77,89705.23,80854.91,72812.55,67809.85,62474.79,57067.92,53210.28
广西,63821,57878,52982,45424,41391,36386,33032,30673,4926,4885,4838,4796,4754,4719,4682,4645,20352.51,18523.26,18317.64,16803.12,15672.89,14449.9,13035.1,11720.87
海南,67727,61663,57600,49882,44971,39485,36244,30775,934,926,917,911,903,895,887,877,4832.05,4462.54,4053.2,3702.76,3500.72,3177.56,2855.54,2522.66
